,Q29
6828,"70,000-79,999"
6830,"150,000-199,999"
6831,"10,000-14,999"
6837,"60,000-69,999"
6839,"50,000-59,999"
6841,"100,000-124,999"
6842,"125,000-149,999"
6843,"7,500-9,999"
6845,"15,000-19,999"
6847,"30,000-39,999"
6849,"150,000-199,999"
6850,"20,000-24,999"
6855,"150,000-199,999"
6859,$0-999
6861,"15,000-19,999"
6864,"40,000-49,999"
6870,$0-999
6878,"25,000-29,999"
6879,"25,000-29,999"
6881,$0-999
6882,"80,000-89,999"
6884,"50,000-59,999"
6886,$0-999
6888,"5,000-7,499"
6889,"40,000-49,999"
6893,"150,000-199,999"
6897,"90,000-99,999"
6898,"150,000-199,999"
6899,"40,000-49,999"
6901,$0-999
6902,"10,000-14,999"
6908,"25,000-29,999"
6910,"50,000-59,999"
6912,"20,000-24,999"
6920,"70,000-79,999"
6921,"10,000-14,999"
6927,"3,000-3,999"
6930,"100,000-124,999"
6933,"3,000-3,999"
6941,$0-999
6945,"10,000-14,999"
6951,"30,000-39,999"
6956,"1,000-1,999"
6962,"5,000-7,499"
6966,$0-999
6967,"10,000-14,999"
6972,"125,000-149,999"
6974,"3,000-3,999"
6975,$0-999
6978,"20,000-24,999"
6980,"4,000-4,999"
6985,$0-999
6993,$0-999
6998,"90,000-99,999"
6999,"60,000-69,999"
7000,"$500,000-999,999"
7001,"5,000-7,499"
7004,"125,000-149,999"
7010,"70,000-79,999"
7011,"60,000-69,999"
7013,$0-999
7014,"125,000-149,999"
7020,"5,000-7,499"
7021,$0-999
7026,"5,000-7,499"
7027,"5,000-7,499"
7032,"2,000-2,999"
7038,"1,000-1,999"
7039,"7,500-9,999"
7041,"70,000-79,999"
7042,"50,000-59,999"
7043,"50,000-59,999"
7047,"15,000-19,999"
7053,"4,000-4,999"
7058,"100,000-124,999"
7061,"30,000-39,999"
7062,"125,000-149,999"
7063,"10,000-14,999"
7066,"30,000-39,999"
7072,$0-999
7078,"10,000-14,999"
7093,"100,000-124,999"
7105,$0-999
7110,"20,000-24,999"
7114,"150,000-199,999"
7117,"20,000-24,999"
7119,"60,000-69,999"
7120,"100,000-124,999"
7123,"25,000-29,999"
7128,"30,000-39,999"
7129,$0-999
7139,"10,000-14,999"
7140,$0-999
7141,"30,000-39,999"
7146,"60,000-69,999"
7151,"15,000-19,999"
7153,"100,000-124,999"
7156,$0-999
7157,"50,000-59,999"
7158,"15,000-19,999"
7163,"5,000-7,499"
7166,"50,000-59,999"
7168,"100,000-124,999"
7170,"300,000-499,999"
7172,"40,000-49,999"
7174,"150,000-199,999"
7177,$0-999
7178,"25,000-29,999"
7179,"1,000-1,999"
7185,"200,000-249,999"
7186,"25,000-29,999"
7189,"150,000-199,999"
7195,$0-999
7197,"30,000-39,999"
7198,"5,000-7,499"
7199,">$1,000,000"
7201,"7,500-9,999"
7205,"100,000-124,999"
7208,"7,500-9,999"
7210,"5,000-7,499"
7211,$0-999
7219,"7,500-9,999"
7222,$0-999
7223,"30,000-39,999"
7226,"125,000-149,999"
7227,"50,000-59,999"
7228,"2,000-2,999"
7231,"7,500-9,999"
7236,"25,000-29,999"
7241,$0-999
7245,$0-999
7246,"20,000-24,999"
7249,"7,500-9,999"
7252,"5,000-7,499"
7262,"5,000-7,499"
7267,"30,000-39,999"
7268,"80,000-89,999"
7269,"100,000-124,999"
7271,"60,000-69,999"
7272,"100,000-124,999"
7273,"70,000-79,999"
7275,"10,000-14,999"
7277,"5,000-7,499"
7279,"4,000-4,999"
7283,"15,000-19,999"
7286,"15,000-19,999"
7288,"150,000-199,999"
7291,"1,000-1,999"
7292,"4,000-4,999"
7293,$0-999
7294,"7,500-9,999"
7295,"50,000-59,999"
7296,"3,000-3,999"
7297,"90,000-99,999"
7298,"15,000-19,999"
7299,"100,000-124,999"
7304,"25,000-29,999"
7312,$0-999
7322,$0-999
7323,"15,000-19,999"
7326,$0-999
7328,"2,000-2,999"
7329,"25,000-29,999"
7332,"30,000-39,999"
7334,$0-999
7337,"2,000-2,999"
7339,"3,000-3,999"
7343,"100,000-124,999"
7344,"30,000-39,999"
7348,"2,000-2,999"
7349,$0-999
7350,"2,000-2,999"
7351,"5,000-7,499"
7353,"10,000-14,999"
7369,$0-999
7370,$0-999
7376,"1,000-1,999"
7378,"90,000-99,999"
7382,"90,000-99,999"
7383,"2,000-2,999"
7384,$0-999
7388,"7,500-9,999"
7389,"50,000-59,999"
7393,"7,500-9,999"
7396,$0-999
7401,"40,000-49,999"
7406,"50,000-59,999"
7410,"5,000-7,499"
7411,"125,000-149,999"
7412,"200,000-249,999"
7413,"30,000-39,999"
7414,"200,000-249,999"
7418,"80,000-89,999"
7419,"30,000-39,999"
7421,"250,000-299,999"
7423,"1,000-1,999"
7426,"100,000-124,999"
7427,"150,000-199,999"
7430,"7,500-9,999"
7434,"100,000-124,999"
7438,"5,000-7,499"
7439,"5,000-7,499"
7440,"4,000-4,999"
7441,"80,000-89,999"
7444,"7,500-9,999"
7446,$0-999
7447,"5,000-7,499"
7448,"60,000-69,999"
7449,"30,000-39,999"
7450,"100,000-124,999"
7455,$0-999
7456,"60,000-69,999"
7457,"50,000-59,999"
7460,"20,000-24,999"
7462,"2,000-2,999"
7464,"4,000-4,999"
7466,$0-999
7467,"150,000-199,999"
7469,"20,000-24,999"
7473,$0-999
7474,$0-999
7476,"30,000-39,999"
7477,"100,000-124,999"
7478,$0-999
7484,"20,000-24,999"
7489,$0-999
7490,"3,000-3,999"
7492,"100,000-124,999"
7493,"$500,000-999,999"
7497,"40,000-49,999"
7501,"7,500-9,999"
7504,$0-999
7507,"7,500-9,999"
7512,"15,000-19,999"
7513,"10,000-14,999"
7514,"10,000-14,999"
7515,"125,000-149,999"
7525,"10,000-14,999"
7527,"7,500-9,999"
7528,"25,000-29,999"
7531,"200,000-249,999"
7532,"60,000-69,999"
7534,"20,000-24,999"
7537,"7,500-9,999"
7539,"70,000-79,999"
7542,$0-999
7545,"125,000-149,999"
7548,"15,000-19,999"
7549,"5,000-7,499"
7550,"5,000-7,499"
7552,"80,000-89,999"
7556,"7,500-9,999"
7557,"1,000-1,999"
7559,"60,000-69,999"
7562,"20,000-24,999"
7567,"30,000-39,999"
7569,"40,000-49,999"
7570,"25,000-29,999"
7572,"30,000-39,999"
7575,$0-999
7577,"10,000-14,999"
7579,"125,000-149,999"
7581,"20,000-24,999"
7583,"60,000-69,999"
7584,"250,000-299,999"
7585,"50,000-59,999"
7587,"50,000-59,999"
7590,"10,000-14,999"
7591,$0-999
7592,"30,000-39,999"
7594,"125,000-149,999"
7598,"250,000-299,999"
7599,"30,000-39,999"
7603,"80,000-89,999"
7605,"1,000-1,999"
7611,"150,000-199,999"
7613,"4,000-4,999"
7614,$0-999
7616,"1,000-1,999"
7618,"25,000-29,999"
7623,$0-999
7625,$0-999
7626,"20,000-24,999"
7629,"60,000-69,999"
7631,"7,500-9,999"
7632,$0-999
7634,"40,000-49,999"
7637,"100,000-124,999"
7638,$0-999
7643,"4,000-4,999"
7647,"1,000-1,999"
7652,$0-999
7655,"30,000-39,999"
7657,"3,000-3,999"
7658,"40,000-49,999"
7659,"30,000-39,999"
7667,"200,000-249,999"
7668,"150,000-199,999"
7670,"80,000-89,999"
7671,"7,500-9,999"
7674,"10,000-14,999"
7678,"20,000-24,999"
7685,"70,000-79,999"
7688,"5,000-7,499"
7689,$0-999
7690,"1,000-1,999"
7692,"15,000-19,999"
7697,"30,000-39,999"
7698,"50,000-59,999"
7701,"25,000-29,999"
7706,"50,000-59,999"
7707,"25,000-29,999"
7710,"150,000-199,999"
7719,"125,000-149,999"
7723,$0-999
7724,"50,000-59,999"
7726,"100,000-124,999"
7728,"15,000-19,999"
7730,"125,000-149,999"
7731,$0-999
7735,"100,000-124,999"
7736,"2,000-2,999"
7740,"70,000-79,999"
7742,"7,500-9,999"
7743,"5,000-7,499"
7749,"40,000-49,999"
7750,"150,000-199,999"
7752,$0-999
7754,$0-999
7755,"30,000-39,999"
7758,"3,000-3,999"
7759,"90,000-99,999"
7765,"15,000-19,999"
7768,"150,000-199,999"
7771,"7,500-9,999"
7775,$0-999
7778,"60,000-69,999"
7781,"100,000-124,999"
7785,$0-999
7787,$0-999
7793,"4,000-4,999"
7798,"15,000-19,999"
7804,"100,000-124,999"
7805,"200,000-249,999"
7808,"60,000-69,999"
7809,"200,000-249,999"
7812,"3,000-3,999"
7814,"100,000-124,999"
7816,"5,000-7,499"
7820,"40,000-49,999"
7821,"20,000-24,999"
7828,"1,000-1,999"
7829,$0-999
7831,"7,500-9,999"
7832,"50,000-59,999"
7836,$0-999
7838,"10,000-14,999"
7839,"20,000-24,999"
7844,"80,000-89,999"
7845,"3,000-3,999"
7849,"150,000-199,999"
7850,"7,500-9,999"
7852,"70,000-79,999"
7853,"50,000-59,999"
7854,$0-999
7855,"40,000-49,999"
7856,"100,000-124,999"
7857,"20,000-24,999"
7859,"2,000-2,999"
7861,"5,000-7,499"
7862,$0-999
7864,$0-999
7865,"2,000-2,999"
7878,$0-999
7881,"3,000-3,999"
7882,"100,000-124,999"
7883,"30,000-39,999"
7887,"80,000-89,999"
7890,$0-999
7891,"5,000-7,499"
7895,"25,000-29,999"
7896,"2,000-2,999"
7897,"90,000-99,999"
7899,"70,000-79,999"
7903,"50,000-59,999"
7907,"5,000-7,499"
7908,$0-999
7909,"20,000-24,999"
7910,"15,000-19,999"
7912,"7,500-9,999"
7915,"$500,000-999,999"
7919,"1,000-1,999"
7922,"125,000-149,999"
7926,"3,000-3,999"
7933,"30,000-39,999"
7935,"1,000-1,999"
7937,"80,000-89,999"
7940,"1,000-1,999"
7945,"10,000-14,999"
7949,"7,500-9,999"
7952,"10,000-14,999"
7953,"90,000-99,999"
7957,$0-999
7958,$0-999
7959,"5,000-7,499"
7961,"1,000-1,999"
7963,"30,000-39,999"
7964,$0-999
7970,"30,000-39,999"
7977,"80,000-89,999"
7980,"30,000-39,999"
7987,"2,000-2,999"
7991,"30,000-39,999"
7995,"15,000-19,999"
7997,$0-999
8005,"7,500-9,999"
8009,"50,000-59,999"
8012,"3,000-3,999"
8013,$0-999
8014,$0-999
8018,"200,000-249,999"
8019,"40,000-49,999"
8020,$0-999
8022,"40,000-49,999"
8023,"5,000-7,499"
8024,$0-999
8025,"7,500-9,999"
8027,$0-999
8031,"30,000-39,999"
8032,"40,000-49,999"
8034,"70,000-79,999"
8036,"60,000-69,999"
8038,$0-999
8039,"10,000-14,999"
8042,"10,000-14,999"
8044,"2,000-2,999"
8045,"200,000-249,999"
8049,$0-999
8050,"5,000-7,499"
8051,"5,000-7,499"
8056,"2,000-2,999"
8059,"7,500-9,999"
8060,$0-999
8061,"70,000-79,999"
8065,"7,500-9,999"
8085,"200,000-249,999"
8088,"1,000-1,999"
8089,"1,000-1,999"
8091,"10,000-14,999"
8092,"300,000-499,999"
8093,"60,000-69,999"
8097,"40,000-49,999"
8098,"20,000-24,999"
8099,"1,000-1,999"
8103,$0-999
8104,$0-999
8105,"7,500-9,999"
8106,"50,000-59,999"
8107,"150,000-199,999"
8109,"1,000-1,999"
8116,"20,000-24,999"
8123,$0-999
8127,"60,000-69,999"
8128,$0-999
8130,"10,000-14,999"
8136,"40,000-49,999"
8137,"40,000-49,999"
8139,"30,000-39,999"
8142,$0-999
8149,"200,000-249,999"
8150,"10,000-14,999"
8154,"1,000-1,999"
8156,"20,000-24,999"
8159,"5,000-7,499"
8164,"30,000-39,999"
8166,"1,000-1,999"
8167,"50,000-59,999"
8168,"25,000-29,999"
8169,$0-999
8172,"5,000-7,499"
8175,"30,000-39,999"
8178,"90,000-99,999"
8180,"1,000-1,999"
8181,"100,000-124,999"
8182,"15,000-19,999"
8184,"90,000-99,999"
8185,"5,000-7,499"
8188,"15,000-19,999"
8190,"70,000-79,999"
8193,"20,000-24,999"
8194,"5,000-7,499"
8198,"1,000-1,999"
8203,"30,000-39,999"
8205,"7,500-9,999"
8211,"125,000-149,999"
8212,"40,000-49,999"
8218,"25,000-29,999"
8221,"25,000-29,999"
8223,"150,000-199,999"
8228,"70,000-79,999"
8231,"10,000-14,999"
8234,"90,000-99,999"
8238,"20,000-24,999"
8239,"5,000-7,499"
8240,"30,000-39,999"
8242,"4,000-4,999"
8246,"4,000-4,999"
8254,"125,000-149,999"
8257,"5,000-7,499"
8258,"1,000-1,999"
8259,"15,000-19,999"
8262,"40,000-49,999"
8273,"3,000-3,999"
8277,"200,000-249,999"
8282,"30,000-39,999"
8287,"1,000-1,999"
8294,"150,000-199,999"
8296,"50,000-59,999"
8298,"20,000-24,999"
8301,"125,000-149,999"
8304,$0-999
8308,"2,000-2,999"
8309,"125,000-149,999"
8310,"2,000-2,999"
8313,"70,000-79,999"
8315,"2,000-2,999"
8316,"20,000-24,999"
8318,$0-999
8320,"80,000-89,999"
8321,"25,000-29,999"
8324,"60,000-69,999"
8325,"1,000-1,999"
8326,"15,000-19,999"
8327,"4,000-4,999"
8330,"150,000-199,999"
8332,"100,000-124,999"
8333,"5,000-7,499"
8335,"90,000-99,999"
8336,$0-999
8342,"125,000-149,999"
8344,"10,000-14,999"
8345,"4,000-4,999"
8347,"300,000-499,999"
8352,"100,000-124,999"
8353,"30,000-39,999"
8359,"3,000-3,999"
8362,$0-999
8363,"150,000-199,999"
8367,"4,000-4,999"
8370,"125,000-149,999"
8373,"60,000-69,999"
8374,$0-999
8376,"30,000-39,999"
8377,"3,000-3,999"
8378,"40,000-49,999"
8382,"4,000-4,999"
8389,"5,000-7,499"
8393,$0-999
8398,"50,000-59,999"
8400,"15,000-19,999"
8402,"100,000-124,999"
8404,"7,500-9,999"
8407,"100,000-124,999"
8408,"80,000-89,999"
8409,"3,000-3,999"
8411,"70,000-79,999"
8412,"25,000-29,999"
8414,"7,500-9,999"
8419,"150,000-199,999"
8421,"7,500-9,999"
8427,$0-999
8429,"20,000-24,999"
8431,"80,000-89,999"
8433,$0-999
8434,"10,000-14,999"
8437,"70,000-79,999"
8438,$0-999
8443,"5,000-7,499"
8444,"80,000-89,999"
8449,$0-999
8452,"40,000-49,999"
8454,"15,000-19,999"
8460,$0-999
8461,$0-999
8468,"90,000-99,999"
8469,$0-999
8472,"60,000-69,999"
8478,"10,000-14,999"
8479,"50,000-59,999"
8480,$0-999
8496,"7,500-9,999"
8499,$0-999
8500,$0-999
8501,"70,000-79,999"
8502,"20,000-24,999"
8506,"50,000-59,999"
8508,"25,000-29,999"
8514,"2,000-2,999"
8519,"1,000-1,999"
8524,$0-999
8529,"300,000-499,999"
8536,"125,000-149,999"
8539,$0-999
8541,$0-999
8543,"150,000-199,999"
8548,"20,000-24,999"
8550,"125,000-149,999"
8551,"3,000-3,999"
8553,"100,000-124,999"
8555,"1,000-1,999"
8560,">$1,000,000"
8564,"20,000-24,999"
8569,"25,000-29,999"
8579,"70,000-79,999"
8597,"1,000-1,999"
8600,"60,000-69,999"
8601,"150,000-199,999"
8605,$0-999
8608,"80,000-89,999"
8612,"10,000-14,999"
8613,"60,000-69,999"
8614,"15,000-19,999"
8615,$0-999
8618,"30,000-39,999"
8619,$0-999
8621,"2,000-2,999"
8624,"1,000-1,999"
8626,"25,000-29,999"
8627,"125,000-149,999"
8629,"70,000-79,999"
8634,"3,000-3,999"
8645,"40,000-49,999"
8646,"3,000-3,999"
8647,"90,000-99,999"
8651,"5,000-7,499"
8656,"40,000-49,999"
8657,"100,000-124,999"
8658,"60,000-69,999"
8665,"2,000-2,999"
8666,"15,000-19,999"
8672,"125,000-149,999"
8673,"20,000-24,999"
8674,"150,000-199,999"
8677,"40,000-49,999"
8680,"125,000-149,999"
8681,$0-999
8687,"7,500-9,999"
8688,"70,000-79,999"
8700,"10,000-14,999"
8703,"20,000-24,999"
8704,"7,500-9,999"
8706,"200,000-249,999"
8707,"2,000-2,999"
8710,$0-999
8714,"100,000-124,999"
8718,"200,000-249,999"
8723,"125,000-149,999"
8725,$0-999
8726,"200,000-249,999"
8735,"25,000-29,999"
8738,"40,000-49,999"
8740,"5,000-7,499"
8745,"30,000-39,999"
8750,"50,000-59,999"
8758,"3,000-3,999"
8759,"70,000-79,999"
8760,$0-999
8761,"10,000-14,999"
8769,"90,000-99,999"
8770,"5,000-7,499"
8778,"15,000-19,999"
8784,"100,000-124,999"
8788,$0-999
8797,"30,000-39,999"
8798,"2,000-2,999"
8802,$0-999
8804,"30,000-39,999"
8806,$0-999
8807,"25,000-29,999"
8818,"25,000-29,999"
8822,"150,000-199,999"
8825,"40,000-49,999"
8828,"90,000-99,999"
8836,"40,000-49,999"
8837,"100,000-124,999"
8838,"4,000-4,999"
8842,"60,000-69,999"
8845,"10,000-14,999"
8856,$0-999
8857,"25,000-29,999"
8861,"5,000-7,499"
8862,"30,000-39,999"
8868,$0-999
8870,"20,000-24,999"
8872,"5,000-7,499"
8876,$0-999
8877,$0-999
8878,"60,000-69,999"
8883,"40,000-49,999"
8885,"25,000-29,999"
8891,"50,000-59,999"
8892,"125,000-149,999"
8894,"60,000-69,999"
8896,"50,000-59,999"
8897,"60,000-69,999"
8898,"10,000-14,999"
8901,$0-999
8902,"40,000-49,999"
8911,"300,000-499,999"
8913,"100,000-124,999"
8914,"10,000-14,999"
8923,"1,000-1,999"
8935,"4,000-4,999"
8936,"1,000-1,999"
8937,$0-999
8939,"100,000-124,999"
8941,"80,000-89,999"
8943,"7,500-9,999"
8946,"5,000-7,499"
8947,"30,000-39,999"
8948,$0-999
8953,"60,000-69,999"
8954,$0-999
8957,"1,000-1,999"
8959,"90,000-99,999"
8976,"15,000-19,999"
8977,"1,000-1,999"
8983,"10,000-14,999"
8985,$0-999
8989,"100,000-124,999"
8990,$0-999
8993,$0-999
8998,"10,000-14,999"
9001,"80,000-89,999"
9002,"50,000-59,999"
9008,"125,000-149,999"
9012,"80,000-89,999"
9016,"20,000-24,999"
9017,"4,000-4,999"
9018,"100,000-124,999"
9019,"150,000-199,999"
9024,"1,000-1,999"
9028,"40,000-49,999"
9029,"200,000-249,999"
9031,"100,000-124,999"
9034,"125,000-149,999"
9035,"1,000-1,999"
9037,"7,500-9,999"
9039,$0-999
9040,"15,000-19,999"
9047,"30,000-39,999"
9052,"60,000-69,999"
9055,"1,000-1,999"
9058,"60,000-69,999"
9060,"15,000-19,999"
9063,"80,000-89,999"
9068,"10,000-14,999"
9072,"10,000-14,999"
9073,"125,000-149,999"
9077,"1,000-1,999"
9082,"25,000-29,999"
9083,"300,000-499,999"
9086,"15,000-19,999"
9087,"4,000-4,999"
9089,"30,000-39,999"
9091,"10,000-14,999"
9093,"5,000-7,499"
9095,"10,000-14,999"
9098,"1,000-1,999"
9100,"150,000-199,999"
9104,"4,000-4,999"
9109,$0-999
9114,"5,000-7,499"
9116,$0-999
9117,"2,000-2,999"
9122,"40,000-49,999"
9129,"100,000-124,999"
9130,$0-999
9131,"30,000-39,999"
9133,"5,000-7,499"
9135,"3,000-3,999"
9137,"125,000-149,999"
9145,"70,000-79,999"
9148,"20,000-24,999"
9160,$0-999
9162,"30,000-39,999"
9163,"50,000-59,999"
9164,"20,000-24,999"
9169,"30,000-39,999"
9176,"15,000-19,999"
9180,"90,000-99,999"
9181,$0-999
9182,"100,000-124,999"
9184,"40,000-49,999"
9186,"10,000-14,999"
9189,"60,000-69,999"
9191,"4,000-4,999"
9192,"40,000-49,999"
9193,"2,000-2,999"
9195,"50,000-59,999"
9196,"4,000-4,999"
9198,"90,000-99,999"
9201,"40,000-49,999"
9212,"10,000-14,999"
9214,"125,000-149,999"
9215,"100,000-124,999"
9216,"1,000-1,999"
9217,"40,000-49,999"
9219,"20,000-24,999"
9224,"150,000-199,999"
9228,"5,000-7,499"
9230,"30,000-39,999"
9232,"100,000-124,999"
9234,"50,000-59,999"
9237,"90,000-99,999"
9238,"40,000-49,999"
9239,"40,000-49,999"
9241,"30,000-39,999"
9243,"5,000-7,499"
9244,"50,000-59,999"
9246,"4,000-4,999"
9248,"70,000-79,999"
9253,$0-999
9254,"60,000-69,999"
9257,"15,000-19,999"
9264,"30,000-39,999"
9265,"30,000-39,999"
9266,"150,000-199,999"
9273,"50,000-59,999"
9274,"15,000-19,999"
9275,"10,000-14,999"
9281,"20,000-24,999"
9282,"70,000-79,999"
9284,$0-999
9288,"2,000-2,999"
9290,"80,000-89,999"
9294,"40,000-49,999"
9295,"20,000-24,999"
9301,"90,000-99,999"
9302,"5,000-7,499"
9304,"1,000-1,999"
9311,"1,000-1,999"
9314,$0-999
9317,"50,000-59,999"
9321,$0-999
9326,"70,000-79,999"
9329,"25,000-29,999"
9331,"5,000-7,499"
9337,"20,000-24,999"
9342,"30,000-39,999"
9343,$0-999
9344,"7,500-9,999"
9346,"1,000-1,999"
9347,"70,000-79,999"
9348,"250,000-299,999"
9356,"50,000-59,999"
9362,"3,000-3,999"
9370,"10,000-14,999"
9372,"15,000-19,999"
9374,"125,000-149,999"
9381,"100,000-124,999"
9384,"60,000-69,999"
9386,$0-999
9388,"2,000-2,999"
9389,"7,500-9,999"
9390,"15,000-19,999"
9392,"125,000-149,999"
9395,"70,000-79,999"
9397,"150,000-199,999"
9401,"300,000-499,999"
9402,"5,000-7,499"
9403,"80,000-89,999"
9411,"40,000-49,999"
9416,$0-999
9421,$0-999
9426,"4,000-4,999"
9427,"30,000-39,999"
9428,"4,000-4,999"
9430,"5,000-7,499"
9431,"5,000-7,499"
9437,"25,000-29,999"
9438,"200,000-249,999"
9445,"150,000-199,999"
9448,"1,000-1,999"
9451,$0-999
9453,"4,000-4,999"
9454,"15,000-19,999"
9455,"1,000-1,999"
9458,"1,000-1,999"
9461,"30,000-39,999"
9464,$0-999
9466,"2,000-2,999"
9468,"90,000-99,999"
9473,"150,000-199,999"
9476,"5,000-7,499"
9477,"30,000-39,999"
9485,"100,000-124,999"
9486,"150,000-199,999"
9487,$0-999
9490,$0-999
9491,$0-999
9494,$0-999
9505,"5,000-7,499"
9508,"150,000-199,999"
9512,"3,000-3,999"
9514,"125,000-149,999"
9516,"150,000-199,999"
9517,"150,000-199,999"
9518,"2,000-2,999"
9519,"15,000-19,999"
9522,"40,000-49,999"
9525,"300,000-499,999"
9528,"60,000-69,999"
9532,"2,000-2,999"
9533,"4,000-4,999"
9535,$0-999
9536,"10,000-14,999"
9539,"7,500-9,999"
9542,"10,000-14,999"
9544,"100,000-124,999"
9546,$0-999
9550,"70,000-79,999"
9551,"40,000-49,999"
9553,"10,000-14,999"
9559,$0-999
9561,"250,000-299,999"
9566,"60,000-69,999"
9573,"7,500-9,999"
9574,"3,000-3,999"
9580,"30,000-39,999"
9581,"150,000-199,999"
9583,$0-999
9586,"5,000-7,499"
9597,"1,000-1,999"
9601,"25,000-29,999"
9602,"2,000-2,999"
9607,"40,000-49,999"
9615,"40,000-49,999"
9616,"80,000-89,999"
9618,"15,000-19,999"
9619,"3,000-3,999"
9623,"1,000-1,999"
9625,"1,000-1,999"
9626,"100,000-124,999"
9627,"15,000-19,999"
9631,$0-999
9632,"40,000-49,999"
9634,"100,000-124,999"
9636,"20,000-24,999"
9638,"7,500-9,999"
9643,"50,000-59,999"
9647,$0-999
9648,"20,000-24,999"
9650,"7,500-9,999"
9656,"5,000-7,499"
9661,"150,000-199,999"
9668,"30,000-39,999"
9675,"50,000-59,999"
9676,"40,000-49,999"
9678,"60,000-69,999"
9680,"20,000-24,999"
9682,"3,000-3,999"
9683,"40,000-49,999"
9687,"60,000-69,999"
9688,"5,000-7,499"
9699,"1,000-1,999"
9701,"150,000-199,999"
9702,$0-999
9704,"10,000-14,999"
9706,"10,000-14,999"
9707,"2,000-2,999"
9713,"10,000-14,999"
9714,"15,000-19,999"
9715,"70,000-79,999"
9716,"70,000-79,999"
9721,"100,000-124,999"
9729,$0-999
9732,$0-999
9735,"15,000-19,999"
9736,$0-999
9738,"40,000-49,999"
9739,"100,000-124,999"
9743,"1,000-1,999"
9744,$0-999
9745,"20,000-24,999"
9749,"4,000-4,999"
9751,"40,000-49,999"
9756,"$500,000-999,999"
9759,"5,000-7,499"
9760,"100,000-124,999"
9763,"300,000-499,999"
9764,"80,000-89,999"
9765,"70,000-79,999"
9766,"15,000-19,999"
9767,"2,000-2,999"
9772,"4,000-4,999"
9773,$0-999
9778,"1,000-1,999"
9779,"10,000-14,999"
9782,"60,000-69,999"
9785,"2,000-2,999"
9789,"40,000-49,999"
9790,"3,000-3,999"
9794,"30,000-39,999"
9795,"2,000-2,999"
9803,"90,000-99,999"
9811,"$500,000-999,999"
9812,"125,000-149,999"
9813,"3,000-3,999"
9815,"15,000-19,999"
9816,$0-999
9817,"3,000-3,999"
9825,"40,000-49,999"
9828,"50,000-59,999"
9829,$0-999
9831,"10,000-14,999"
9833,"100,000-124,999"
9834,"90,000-99,999"
9842,"40,000-49,999"
9844,"125,000-149,999"
9845,"20,000-24,999"
9846,$0-999
9850,"2,000-2,999"
9852,"1,000-1,999"
9854,"100,000-124,999"
9855,"7,500-9,999"
9856,$0-999
9859,"70,000-79,999"
9860,"60,000-69,999"
9861,"150,000-199,999"
9862,"15,000-19,999"
9863,"2,000-2,999"
9864,"50,000-59,999"
9866,"2,000-2,999"
9868,"300,000-499,999"
9869,"70,000-79,999"
9874,"5,000-7,499"
9877,$0-999
9879,"4,000-4,999"
9880,$0-999
9883,"150,000-199,999"
9887,"20,000-24,999"
9891,"100,000-124,999"
9894,$0-999
9896,"3,000-3,999"
9901,"20,000-24,999"
9905,"100,000-124,999"
9906,"10,000-14,999"
9912,"7,500-9,999"
9916,"10,000-14,999"
9919,"60,000-69,999"
9923,"60,000-69,999"
9927,"7,500-9,999"
9932,"90,000-99,999"
9934,$0-999
9935,"2,000-2,999"
9936,"70,000-79,999"
9938,"125,000-149,999"
9939,$0-999
9940,"50,000-59,999"
9943,"15,000-19,999"
9944,"150,000-199,999"
9950,"20,000-24,999"
9953,"1,000-1,999"
9955,"1,000-1,999"
9956,$0-999
9960,"40,000-49,999"
9961,"150,000-199,999"
9964,"1,000-1,999"
9966,"15,000-19,999"
9967,"1,000-1,999"
9978,"150,000-199,999"
9979,"30,000-39,999"
9981,"25,000-29,999"
9982,"1,000-1,999"
9984,"150,000-199,999"
9986,"125,000-149,999"
9988,"2,000-2,999"
9994,"30,000-39,999"
9997,"50,000-59,999"
9998,$0-999
10007,"125,000-149,999"
10008,"10,000-14,999"
10013,$0-999
10017,"150,000-199,999"
10025,$0-999
10026,"3,000-3,999"
10028,"50,000-59,999"
10031,"40,000-49,999"
10036,"80,000-89,999"
10039,"20,000-24,999"
10042,$0-999
10044,"25,000-29,999"
10053,"60,000-69,999"
10059,"1,000-1,999"
10061,"50,000-59,999"
10063,"60,000-69,999"
10065,"125,000-149,999"
10071,"30,000-39,999"
10075,"20,000-24,999"
10078,"25,000-29,999"
10080,"50,000-59,999"
10082,"2,000-2,999"
10084,"40,000-49,999"
10085,"10,000-14,999"
10090,$0-999
10092,"10,000-14,999"
10099,$0-999
10100,$0-999
10103,"125,000-149,999"
10104,"3,000-3,999"
10106,"200,000-249,999"
10109,"60,000-69,999"
10113,"5,000-7,499"
10114,"90,000-99,999"
10118,$0-999
10126,"15,000-19,999"
10127,$0-999
10128,"20,000-24,999"
10131,"5,000-7,499"
10133,"150,000-199,999"
10137,$0-999
10138,$0-999
10140,"30,000-39,999"
10151,$0-999
10153,"30,000-39,999"
10154,$0-999
10156,"300,000-499,999"
10161,"60,000-69,999"
10162,"30,000-39,999"
10164,"70,000-79,999"
10167,"7,500-9,999"
10171,"30,000-39,999"
10172,"100,000-124,999"
10173,$0-999
10175,"5,000-7,499"
10177,"150,000-199,999"
10181,$0-999
10183,"7,500-9,999"
10184,"90,000-99,999"
10185,"4,000-4,999"
10191,"7,500-9,999"
10192,"$500,000-999,999"
10196,"125,000-149,999"
10197,"150,000-199,999"
